Serial_Number,Common_Name,Scientific_Name,Oxygen_Output_Full_Growth_(kg/year),First_Flowering_Time_(years),Full_Growth_Time_(years),Additional Benefit,Soil_Type,Region_Suitability,Climate_Suitability,Above_Ground_Biomass_(kg/m sq),Below_Ground_Biomass_(kg/m sq),Total_Biomass_(kg/m sq),Total Carbon (TC) (kg/m sq),Carbon_Sequestration_(kg/year/m sq),Trunk_Size_(m),Tree_Height_(m),Branch_Length_(m),Crown_Diameter_(m),Crown_Area_(m sq),Root_Span_(m sq),Total_AGB_(in kg),Total_BGB_(in kg),Total_Biomass_(in kg),Total_Carbon_(in kg),Total_Carbon_Sequestration_(in kg),Carbon_Sequestration_First_Flowering_(in kg/year),Oxygen_Output_First_Flowering_(kg/year)
176,Spider Lily,Hymenocallis littoralis,1.2,3,3,"""Decorative""","""Sandy, Coastal""","""Urban, Rural, Coastal""","""Tropical, Subtropical, Coastal""",0.1,0.02,0.12,0.14,0.02,0.05,0.8,0,0.5,0.2,0.5,0.5,0.1,0.6,0.3,1,0.012,0.36
177,Glory Lily,Gloriosa superba,2.4,2,2,"""Medicinal""","""Loamy, Sandy""","""Urban, Rural""","""Tropical, Subtropical""",0.2,0.04,0.24,0.33,0.04,0.02,2,1.5,1.5,1.8,0.5,1,0.2,1.2,0.6,2,0.144,0.72
178,Bleeding Heart Vine,Clerodendrum thomsoniae,6,3,3,"""Decorative""","""Loamy, Well-drained""","""Urban, Rural""","""Tropical, Subtropical""",0.3,0.06,0.36,1.41,0.26,0.1,3,2,1.5,1.8,1.5,1.5,0.3,1.8,0.8,3,1.404,1.8
179,Morning Glory,Ipomoea spp.,3.6,1,1,"""Decorative""","""Sandy, Loamy""","""Urban, Rural""","""Tropical, Temperate""",0.1,0.02,0.12,0.24,0.06,0.05,2,1.5,1,0.8,0.5,0.5,0.1,0.6,0.3,1,0.048,1.08
180,Blue Daze,Evolvulus glomeratus,0.4,1,1,"""Decorative""","""Sandy, Well-drained""","""Urban, Rural""","""Tropical, Subtropical""",0.03,0.01,0.04,0.05,0.01,0.01,0.3,0.2,0.3,0.1,0.3,0.1,0,0.1,0,0.1,0.001,0.12
181,Sweet Pea,Lathyrus odoratus,1.2,1,1,"""Decorative""","""Loamy, Well-drained""","""Urban, Rural""","""Temperate, Subtropical""",0.1,0.02,0.12,0.14,0.04,0.02,1,0.8,0.8,0.5,0.5,0.5,0.1,0.6,0.3,1,0.02,0.36
182,Rangoon Creeper,Combretum indicum,7.2,2,5,"""Decorative""","""Sandy, Loamy""","""Urban, Rural""","""Tropical, Subtropical""",0.5,0.1,0.6,1.69,0.21,0.2,4,3,3,7,2,2,0.4,2.4,1.1,4,2.94,0.86
183,Mexican Petunia,Ruellia simplex,1,1,2,"""Decorative""","""Sandy, Loamy""","""Urban, Rural""","""Tropical, Subtropical""",0.05,0.01,0.06,0.19,0.03,0.05,0.5,0.3,0.5,0.2,1,0.3,0.1,0.4,0.2,0.7,0.006,0.15
184,Brunfelsia,Brunfelsia pauciflora,6,3,5,"""Decorative""","""Loamy, Acidic""","""Urban, Rural""","""Tropical, Subtropical""",0.5,0.1,0.6,1.41,0.21,0.15,3,2,2,3,2.5,2,0.4,2.4,1.1,4,1.89,1.08
185,Haritaki,Terminalia chebula,87.6,10,30,"""Medicinal""","""Alluvial, Loamy""","""Rural""","""Tropical, Subtropical""",5.09,1.02,6.11,14.98,2.2,1.8,25,8,12,113,12,1800,360,2160,1015,3722,2486,8.76
186,Ashwagandha,Withania somnifera,1.8,1,2,"""Medicinal""","""Sandy, Loamy""","""Urban, Rural""","""Arid, Semi-arid""",0.2,0.04,0.24,0.28,0.04,0.1,1,0.5,0.8,0.5,1.2,1,0.2,1.2,0.6,2,0.02,0.27
187,Brahmi,Bacopa monnieri,0.4,0.5,1,"""Medicinal""","""Sandy, Wet""","""Urban, Rural""","""Tropical, Subtropical, Wetland""",0.03,0.01,0.04,0.05,0.01,0.01,0.1,0.1,0.2,0.03,0.3,0.2,0,0.2,0.1,0.4,0.00015,0.06
188,Shankhpushpi,Convolvulus pluricaulis,0.4,1,1,"""Medicinal""","""Sandy, Loamy""","""Urban, Rural""","""Tropical, Subtropical""",0.03,0.01,0.04,0.05,0.01,0.02,0.3,0.2,0.3,0.1,0.3,0.1,0,0.1,0,0.1,0.001,0.12
189,Aloe vera,Aloe barbadensis miller,2.4,2,5,"""Medicinal""","""Sandy, Well-drained""","""Urban, Rural""","""Arid, Subtropical""",0.2,0.04,0.24,0.28,0.04,0.1,0.6,0.3,0.5,0.2,0.8,1,0.2,1.2,0.6,2,0.016,0.29
190,Giloy,Tinospora cordifolia,4.8,2,5,"""Medicinal""","""Loamy, Humid""","""Urban, Rural""","""Tropical, Humid Subtropical""",0.3,0.06,0.36,0.85,0.13,0.05,2,1,1,0.8,1.5,1.5,0.3,1.8,0.8,3,0.208,0.58
191,Bhringraj,Eclipta alba,0.4,1,1,"""Medicinal""","""Sandy, Wet""","""Urban, Rural""","""Tropical, Subtropical, Wetland""",0.03,0.01,0.04,0.05,0.01,0.01,0.4,0.2,0.3,0.1,0.3,0.1,0,0.1,0,0.1,0.001,0.12
192,Kalmegh,Andrographis paniculata,0.8,1,1,"""Medicinal""","""Sandy, Loamy""","""Urban, Rural""","""Tropical, Subtropical""",0.03,0.01,0.04,0.14,0.02,0.02,1,0.5,0.6,0.3,0.4,0.1,0,0.1,0,0.1,0.006,0.24
193,Vacha,Acorus calamus,1.8,2,3,"""Medicinal""","""Sandy, Wet""","""Urban, Rural, Wetland""","""Tropical, Subtropical, Wetland""",0.2,0.04,0.24,0.28,0.04,0.05,0.8,0.3,0.5,0.2,1,0.5,0.1,0.6,0.3,1,0.016,0.36
194,Wild Asparagus,Asparagus racemosus,1.2,2,3,"""Medicinal""","""Sandy, Loamy""","""Urban, Rural""","""Tropical, Subtropical""",0.2,0.04,0.24,0.28,0.04,0.05,1,0.5,0.6,0.3,1.2,0.5,0.1,0.6,0.3,1,0.024,0.24
195,Arni,Clerodendrum phlomidis,6,2,5,"""Medicinal""","""Loamy, Well-drained""","""Urban, Rural""","""Tropical, Subtropical""",0.5,0.1,0.6,1.41,0.21,0.15,2,1,1.5,1.8,2,2,0.4,2.4,1.1,4,0.756,0.72
196,Nirgundi,Vitex negundo,12,3,5,"""Medicinal""","""Sandy, Loamy""","""Urban, Rural""","""Tropical, Subtropical""",1,0.2,1.2,2.82,0.44,0.3,4,2,3,7,3,4,0.8,4.8,2.3,8,9.24,2.16
197,Apamarga,Achyranthes aspera,0.8,1,1,"""Medicinal""","""Sandy, Gravelly""","""Urban, Rural""","""Tropical, Arid""",0.1,0.02,0.12,0.19,0.12,0.05,0.6,0.3,0.5,0.2,0.8,0.2,0,0.2,0.1,0.4,0.024,0.24
198,Patharchatta,Kalanchoe pinnata,1.2,1,2,"""Medicinal""","""Sandy, Rocky""","""Urban, Rural""","""Tropical, Arid""",0.1,0.02,0.12,0.28,0.18,0.03,0.5,0.2,0.4,0.1,0.5,0.3,0.1,0.4,0.2,0.7,0.018,0.18
199,Anantmool,Hemidesmus indicus,1.8,2,3,"""Medicinal""","""Sandy, Loamy""","""Urban, Rural""","""Tropical, Subtropical""",0.2,0.04,0.24,0.42,0.06,0.05,1,0.5,0.8,0.5,1.2,0.5,0.1,0.6,0.3,1,0.06,0.36
200,Rasna,Pluchea lanceolata,1.5,1,2,"""Medicinal""","""Sandy, Loamy""","""Urban, Rural""","""Tropical, Subtropical""",0.2,0.04,0.24,0.71,0.22,0.08,1,0.5,0.8,0.5,1,0.5,0.1,0.6,0.3,1,0.11,0.23
201,Gokhru,Tribulus terrestris,0.4,0.5,1,"""Medicinal""","""Sandy, Arid""","""Rural""","""Arid, Semi-arid""",0.03,0.01,0.04,0.09,0.01,0.01,0.1,0.1,0.2,0.03,0.5,0.1,0,0.1,0,0.1,0.00015,0.06
202,Indrayan,Citrullus colocynthis,7.2,1,1,"""Medicinal""","""Sandy, Arid""","""Rural""","""Arid, Semi-arid""",0.3,0.06,0.36,1.69,1.05,0.1,0.5,0.3,0.8,0.5,2,1,0.2,1.2,0.6,2,0.525,2.16
203,Chirayata,Swertia chirata,1.5,2,2,"""Medicinal""","""Loamy, Humid""","""Urban, Rural""","""Temperate, Subtropical""",0.1,0.02,0.12,0.71,0.22,0.03,0.8,0.4,0.6,0.3,0.8,0.3,0.1,0.4,0.2,0.7,0.132,0.45
204,Dronapushpi,Leucas aspera,0.8,1,1,"""Medicinal""","""Sandy, Loamy""","""Urban, Rural""","""Tropical, Subtropical""",0.1,0.02,0.12,0.19,0.12,0.03,0.5,0.3,0.5,0.2,0.5,0.2,0,0.2,0.1,0.4,0.024,0.24
205,Simarouba,Simarouba glauca,60,5,10,"""Area limited""","""Sandy, Laterite""","""Rural""","""Tropical, Semi-arid""",3.16,0.63,3.79,14.1,8.8,0.8,12,5,8,50,8,12,2.4,12,5.6,21,2200,9
206,Hirda,Terminalia harza,105.6,8,25,"""Medicinal""","""Alluvial, Loamy""","""Urban, Rural""","""Tropical, Humid Subtropical""",5.09,1.02,6.11,24.73,15.45,1.5,20,7,12,113,12,20,4,24,11.3,41,13966.8,10.14
207,Golden Champa,Michelia champaca ,89.4,7,20,"""Decorative, Medicinal""","""Loamy, Well-drained""","""Urban, Rural""","""Tropical, Humid Subtropical""",5.09,1.02,6.11,20.91,13.07,1.2,15,5,10,79,10,15,3,18,8.5,31,7227.71,9.39
